2020/03/02 15:59:02 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:59:03 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:59:04 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET /app/kibana HTTP/1.1", upstream: "http://172.27.0.5:5601/app/kibana", host: "lamas.int"
2020/03/02 15:59:07 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.27.0.5:5601/", host: "lamas.int"
2020/03/02 15:59:22 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.27.0.5:5601/", host: "lamas.int"
2020/03/02 15:59:24 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.27.0.5:5601/", host: "lamas.int"
2020/03/02 15:59:45 [error] 6#6: *27 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.27.0.5:5601/", host: "lamas.int"
2020/03/02 15:59:49 [error] 6#6: *27 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.27.0.5:5601/", host: "lamas.int"
2020/03/02 15:59:50 [error] 6#6: *27 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.27.0.5:5601/", host: "lamas.int"
2020/03/02 15:59:50 [error] 6#6: *27 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.27.0.5:5601/", host: "lamas.int"
2020/03/02 15:59:50 [error] 6#6: *27 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.27.0.5:5601/", host: "lamas.int"
2020/03/02 16:00:58 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:00:58 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:00:59 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:00:59 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:00:59 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:00:59 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:00:59 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:00:59 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:00 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:00 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:00 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:01 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:01 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:01 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:01 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:01 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:02 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:02 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:02 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:02 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:02 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:22 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:23 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:24 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:24 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:25 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:01:39 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.68, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:23:29 [error] 6#6: *340 upstream prematurely closed connection while reading response header from upstream, client: 10.20.200.68, server: , request: "POST /api/ui_metric/report HTTP/1.1", upstream: "http://172.28.0.7:5601/api/ui_metric/report", host: "lamas.int", referrer: "http://lamas.int/app/kibana"
2020/03/02 16:23:40 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:23:56 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
2020/03/02 16:23:57 [error] 6#6: *342 connect() failed (111: Connection refused) while connecting to upstream, client: 10.20.200.55, server: , request: "GET / HTTP/1.1", upstream: "http://172.28.0.7:5601/", host: "lamas.int"
